ID,RA,DEC,Z,Radius_Mpc,Density_Fraction,Effective_Radius_deg,Catalog_Source
22124,,,,68.394,,2.1886080000000003,SDSS_DR12
11881,,,,80.672,,2.581504,SDSS_DR12
19612,,,,87.078,,2.786496,SDSS_DR12
21507,,,,104.931,,3.357792,SDSS_DR12
14622,,,,36.965,,1.1828800000000002,SDSS_DR12
14901,,,,91.289,,2.9212480000000003,SDSS_DR12
19724,,,,92.325,,2.9544,SDSS_DR12
12909,,,,46.648,,1.492736,SDSS_DR12
19870,,,,68.091,,2.178912,SDSS_DR12
4687,,,,44.12,,1.41184,SDSS_DR12
15591,,,,60.362,,1.9315840000000002,SDSS_DR12
21215,,,,55.923,,1.789536,SDSS_DR12
881,,,,62.119,,1.987808,SDSS_DR12
20222,,,,51.93,,1.6617600000000001,SDSS_DR12
899,,,,59.246,,1.895872,SDSS_DR12
19635,,,,33.293,,1.065376,SDSS_DR12
4738,,,,65.242,,2.0877440000000003,SDSS_DR12
9956,,,,22.317,,0.714144,SDSS_DR12
18662,,,,73.631,,2.356192,SDSS_DR12
141,,,,61.465,,1.9668800000000002,SDSS_DR12
18756,,,,77.773,,2.488736,SDSS_DR12
7200,,,,57.753,,1.848096,SDSS_DR12
21349,,,,60.419,,1.933408,SDSS_DR12
9094,,,,54.846,,1.755072,SDSS_DR12
22148,,,,94.659,,3.0290880000000002,SDSS_DR12
4680,,,,39.641,,1.2685119999999999,SDSS_DR12
3442,,,,66.153,,2.116896,SDSS_DR12
11658,,,,22.1,,0.7072,SDSS_DR12
18175,,,,65.62,,2.0998400000000004,SDSS_DR12
21959,,,,55.644,,1.780608,SDSS_DR12
21565,,,,54.885,,1.7563199999999999,SDSS_DR12
11396,,,,47.469,,1.5190080000000001,SDSS_DR12
21119,,,,58.569,,1.874208,SDSS_DR12
16630,,,,54.522,,1.744704,SDSS_DR12
11786,,,,78.156,,2.500992,SDSS_DR12
4678,,,,67.616,,2.163712,SDSS_DR12
21463,,,,54.507,,1.744224,SDSS_DR12
17833,,,,48.77,,1.56064,SDSS_DR12
15445,,,,63.52,,2.0326400000000002,SDSS_DR12
16196,,,,73.84,,2.36288,SDSS_DR12
4270,,,,60.072,,1.9223040000000002,SDSS_DR12
3441,,,,35.724,,1.143168,SDSS_DR12
19601,,,,37.315,,1.19408,SDSS_DR12
13703,,,,52.96,,1.69472,SDSS_DR12
4262,,,,62.968,,2.0149760000000003,SDSS_DR12
2634,,,,30.679,,0.9817279999999999,SDSS_DR12
